NAME,TYPE,PACKAGE,PERSONAL DESKTOP,PERSONAL LAPTOP,WORK LAPTOP,SERVER,DISABLED
Kid3,flatpak,org.kde.kid3,y,,,,
LAME,nixpkgs,lame,y,,,,
lastpass-cli,nixpkgs,lastpass-cli,y,y,y,y,
lazycli,nixpkgs,lazycli,y,y,y,y,
lazydocker,nixpkgs,lazydocker,y,y,y,y,
lazygit,nixpkgs,lazygit,y,y,y,y,
Less,nixpkgs,less,y,y,y,y,
lf,nixpkgs,lf,y,y,y,y,
LFTP,nixpkgs,lftp,y,y,y,y,
LibreOffice,flatpak,org.libreoffice.LibreOffice,y,y,y,,
LibreWolf,flatpak,io.gitlab.librewolf-community,y,y,y,,
Linode CLI,nixpkgs,linode-cli,y,y,y,y,
lite-xl,nixpkgs,lite-xl,y,y,y,,
lsof,nixpkgs,lsof,y,y,y,y,
Lua,nixpkgs,lua,y,y,y,y,
Lutris,flatpak,net.lutris.Lutris,y,,,,
LXC,nixpkgs,lxc,y,y,y,y,use distro package
LXCFS,nixpkgs,lxcfs,y,y,y,y,
lz4,nixpkgs,lz4,y,y,y,y,
mbuffer,nixpkgs,mbuffer,y,y,y,y,
mdcat,nixpkgs,mdcat,y,y,y,y,
MediaInfo,flatpak,net.mediaarea.MediaInfo,y,,,,
Meld,flatpak,org.gnome.meld,y,y,y,,
Micro,nixpkgs,micro,y,y,y,y,
miller,nixpkgs,miller,y,y,y,y,
Mission Center,flatpak,io.missioncenter.MissionCenter,y,y,y,,
Moar,nixpkgs,moar,y,y,y,y,
Mosh,nixpkgs,mosh,,y,y,,
mp3splt,nixpkgs,mp3splt,y,,,,
MPV,flatpak,io.mpv.Mpv,y,y,y,,
mtr,nixpkgs,mtr,y,y,y,y,
MultiTail,nixpkgs,multitail,y,y,y,y,
nano,nixpkgs,nano,y,y,y,y,
navi,nixpkgs,navi,y,y,y,y,
NCurses Disk Usage,nixpkgs,ncdu,y,y,y,y,
Neovim,flatpak,io.neovim.nvim,y,y,y,,
NerdFonts,nixpkgs,nerdfonts,y,y,y,,
nh,nixpkgs,nh,y,y,y,y,
nixpkgs-fmt,nixpkgs,nixpkgs-fmt,y,y,y,y,
Nmap,nixpkgs,nmap,y,y,y,y,
nnn,nixpkgs,nnn,y,y,y,y,
nvd,nixpkgs,nvd,y,y,y,y,
nvtop,nixpkgs,nvtopPackages.full,y,y,y,,
Okular,flatpak,org.kde.okular,y,y,y,,
onefetch,nixpkgs,onefetch,y,y,y,y,
oneshot,nixpkgs,oneshot,y,y,y,y,
OpenSSL,nixpkgs,openssl,y,y,y,y,
ouch,nixpkgs,ouch,y,y,y,y,
p7zi,nixpkgs,p7zip,y,y,y,y,
pandoc,nixpkgs,pandoc,y,y,y,y,
Parallel,nixpkgs,parallel,y,y,y,y,
parquet-tools,nixpkgs,parquet-tools,y,y,y,y,
Perl,nixpkgs,perl,y,y,y,y,
Picard,flatpak,org.musicbrainz.Picard,y,,,,
pigz,nixpkgs,pigz,y,y,y,y,
Pinta,flatpak,com.github.PintaProject.Pinta,y,y,y,,
Pipe Viewer,nixpkgs,pv,y,y,y,y,
pipr,nixpkgs,pipr,y,y,y,y,
Plexamp,flatpak,com.plexamp.Plexamp,y,y,y,,
Plex Desktop,flatpak,tv.plex.PlexDesktop,y,y,y,,
Podman Compose,nixpkgs,podman-compose,y,y,y,y,using docker
Podman,nixpkgs,podman,y,y,y,y,using docker
Podman Terminal UI,nixpkgs,podman-tui,y,y,y,y,using docker
Pods,flatpak,com.github.marhkb.Pods,y,y,y,,
Postman,flatpak,com.getpostman.Postman,y,y,y,,
procs,nixpkgs,procs,y,y,y,y,
ProtonPlus,flatpak,com.vysp3r.ProtonPlus,y,,,,
Protontricks,flatpak,com.github.Matoking.protontricks,y,,,,
ProtonUp-Qt,flatpak,net.davidotek.pupgui2,y,,,,
Puddletag,flatpak,net.puddletag.puddletag,y,,,,
Qalculate,flatpak,io.github.Qalculate,y,y,y,,
qBittorrent,flatpak,org.qbittorrent.qBittorrent,y,y,y,,
QDirStat,nixpkgs,qdirstat,y,y,y,,
Quickemu,nixpkgs,quickemu,y,y,y,,
ranger,nixpkgs,ranger,y,y,y,y,
riff,nixpkgs,riff,y,y,y,y,
ripgrep-all,nixpkgs,ripgrep-all,y,y,y,y,
ripgrep,nixpkgs,ripgrep,y,y,y,y,
RnR,nixpkgs,rnr,y,y,y,y,
rsync,nixpkgs,rsync,y,y,y,y,
runiq,nixpkgs,runiq,y,y,y,y,
scalafmt,nixpkgs,scalafmt,y,y,y,y,
Screen,nixpkgs,screen,y,y,y,y,
sd,nixpkgs,sd,y,y,y,,
sed,nixpkgs,gnused,y,y,y,y,
selectdefaultapplication,nixpkgs,selectdefaultapplication,y,y,y,,
ShellCheck,nixpkgs,shellcheck,y,y,y,y,
Shellharden,nixpkgs,shellharden,y,y,y,y,
shfmt,nixpkgs,shfmt,y,y,y,y,
simplescreenrecorder,nixpkgs,simplescreenrecorder,y,y,y,,
skim,nixpkgs,skim,y,y,y,y,
Skype,flatpak,com.skype.Client,y,,,,
Slack,flatpak,com.slack.Slack,y,y,y,,
Slim,nixpkgs,docker-slim,y,y,y,y,
sops,nixpkgs,sops,y,y,y,y,
Sound eXchange,nixpkgs,sox,y,,,,
speedtest-cli,nixpkgs,speedtest-cli,y,y,y,y,
sshs,nixpkgs,sshs,y,y,y,y,
Starship,nixpkgs,starship,y,y,y,y,
Steam,flatpak,com.valvesoftware.Steam,y,,,,
Strawberry Music Player,flatpak,org.strawberrymusicplayer.strawberry,y,,,,
systeroid,nixpkgs,systeroid,y,y,y,y,
Tar,nixpkgs,gnutar,y,y,y,y,
tcpdump,nixpkgs,tcpdump,y,y,y,y,
tealdeer,nixpkgs,tealdeer,y,y,y,y,
tgpt,nixpkgs,tgpt,y,y,y,y,
The Silver Searcher,nixpkgs,silver-searcher,y,y,y,y,
