NAME,PACKAGE,PERSONAL DESKTOP,PERSONAL LAPTOP,WORK LAPTOP,SERVER,DISABLED
JetBrains Toolbox,jetbrains-toolbox,y,y,y,,
Warp,warp-terminal,y,y,y,,
